Algorithm	Rank	Accuracy	Non-word Length	Corpus
Aspell with Jaro-Winkler	10	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	20	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	30	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	40	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	50	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	60	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	70	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	80	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	90	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	100	0.9787234042553191	11	Wikipedia
Aspell with Jaro-Winkler	1	0.8027210884353742	12	Wikipedia
Aspell with Jaro-Winkler	2	0.8707482993197279	12	Wikipedia
Aspell with Jaro-Winkler	3	0.9455782312925171	12	Wikipedia
Aspell with Jaro-Winkler	4	0.9659863945578231	12	Wikipedia
Aspell with Jaro-Winkler	5	0.9727891156462585	12	Wikipedia
Aspell with Jaro-Winkler	6	0.9727891156462585	12	Wikipedia
Aspell with Jaro-Winkler	7	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	8	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	9	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	10	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	20	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	30	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	40	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	50	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	60	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	70	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	80	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	90	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	100	0.9863945578231292	12	Wikipedia
Aspell with Jaro-Winkler	1	0.8378378378378378	13	Wikipedia
Aspell with Jaro-Winkler	2	0.918918918918919	13	Wikipedia
Aspell with Jaro-Winkler	3	0.972972972972973	13	Wikipedia
Aspell with Jaro-Winkler	4	0.9864864864864865	13	Wikipedia
Aspell with Jaro-Winkler	5	1.0	13	Wikipedia
Aspell with Jaro-Winkler	6	1.0	13	Wikipedia
Aspell with Jaro-Winkler	7	1.0	13	Wikipedia
Aspell with Jaro-Winkler	8	1.0	13	Wikipedia
Aspell with Jaro-Winkler	9	1.0	13	Wikipedia
Aspell with Jaro-Winkler	10	1.0	13	Wikipedia
Aspell with Jaro-Winkler	20	1.0	13	Wikipedia
Aspell with Jaro-Winkler	30	1.0	13	Wikipedia
Aspell with Jaro-Winkler	40	1.0	13	Wikipedia
Aspell with Jaro-Winkler	50	1.0	13	Wikipedia
Aspell with Jaro-Winkler	60	1.0	13	Wikipedia
Aspell with Jaro-Winkler	70	1.0	13	Wikipedia
Aspell with Jaro-Winkler	80	1.0	13	Wikipedia
Aspell with Jaro-Winkler	90	1.0	13	Wikipedia
Aspell with Jaro-Winkler	100	1.0	13	Wikipedia
Aspell with Jaro-Winkler	1	0.8333333333333334	14	Wikipedia
Aspell with Jaro-Winkler	2	0.8333333333333334	14	Wikipedia
Aspell with Jaro-Winkler	3	0.9	14	Wikipedia
Aspell with Jaro-Winkler	4	0.9333333333333333	14	Wikipedia
Aspell with Jaro-Winkler	5	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	6	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	7	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	8	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	9	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	10	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	20	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	30	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	40	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	50	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	60	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	70	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	80	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	90	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	100	0.9666666666666667	14	Wikipedia
Aspell with Jaro-Winkler	1	0.8	15	Wikipedia
Aspell with Jaro-Winkler	2	0.8	15	Wikipedia
Aspell with Jaro-Winkler	3	0.9	15	Wikipedia
Aspell with Jaro-Winkler	4	0.9	15	Wikipedia
Aspell with Jaro-Winkler	5	0.9	15	Wikipedia
Aspell with Jaro-Winkler	6	0.9	15	Wikipedia
Aspell with Jaro-Winkler	7	0.9	15	Wikipedia
Aspell with Jaro-Winkler	8	0.9	15	Wikipedia
Aspell with Jaro-Winkler	9	0.9	15	Wikipedia
Aspell with Jaro-Winkler	10	0.9	15	Wikipedia
Aspell with Jaro-Winkler	20	0.9	15	Wikipedia
Aspell with Jaro-Winkler	30	0.9	15	Wikipedia
Aspell with Jaro-Winkler	40	0.9	15	Wikipedia
Aspell with Jaro-Winkler	50	0.9	15	Wikipedia
Aspell with Jaro-Winkler	60	0.9	15	Wikipedia
Aspell with Jaro-Winkler	70	0.9	15	Wikipedia
Aspell with Jaro-Winkler	80	0.9	15	Wikipedia
Aspell with Jaro-Winkler	90	0.9	15	Wikipedia
Aspell with Jaro-Winkler	100	0.9	15	Wikipedia
Aspell with Jaro-Winkler	1	0.75	16	Wikipedia
Aspell with Jaro-Winkler	2	1.0	16	Wikipedia
Aspell with Jaro-Winkler	3	1.0	16	Wikipedia
Aspell with Jaro-Winkler	4	1.0	16	Wikipedia
Aspell with Jaro-Winkler	5	1.0	16	Wikipedia
Aspell with Jaro-Winkler	6	1.0	16	Wikipedia
Aspell with Jaro-Winkler	7	1.0	16	Wikipedia
Aspell with Jaro-Winkler	8	1.0	16	Wikipedia
Aspell with Jaro-Winkler	9	1.0	16	Wikipedia
Aspell with Jaro-Winkler	10	1.0	16	Wikipedia
Aspell with Jaro-Winkler	20	1.0	16	Wikipedia
Aspell with Jaro-Winkler	30	1.0	16	Wikipedia
Aspell with Jaro-Winkler	40	1.0	16	Wikipedia
Aspell with Jaro-Winkler	50	1.0	16	Wikipedia
Aspell with Jaro-Winkler	60	1.0	16	Wikipedia
Aspell with Jaro-Winkler	70	1.0	16	Wikipedia
Aspell with Jaro-Winkler	80	1.0	16	Wikipedia
Aspell with Jaro-Winkler	90	1.0	16	Wikipedia
Aspell with Jaro-Winkler	100	1.0	16	Wikipedia
Aspell with Jaro-Winkler	1	0.0	17	Wikipedia
Aspell with Jaro-Winkler	2	0.0	17	Wikipedia
Aspell with Jaro-Winkler	3	0.0	17	Wikipedia
Aspell with Jaro-Winkler	4	0.0	17	Wikipedia
Aspell with Jaro-Winkler	5	0.0	17	Wikipedia
Aspell with Jaro-Winkler	6	0.0	17	Wikipedia
Aspell with Jaro-Winkler	7	0.0	17	Wikipedia
Aspell with Jaro-Winkler	8	0.0	17	Wikipedia
Aspell with Jaro-Winkler	9	0.0	17	Wikipedia
Aspell with Jaro-Winkler	10	0.0	17	Wikipedia
Aspell with Jaro-Winkler	20	0.0	17	Wikipedia
Aspell with Jaro-Winkler	30	0.0	17	Wikipedia
Aspell with Jaro-Winkler	40	0.0	17	Wikipedia
Aspell with Jaro-Winkler	50	0.0	17	Wikipedia
Aspell with Jaro-Winkler	60	0.0	17	Wikipedia
Aspell with Jaro-Winkler	70	0.0	17	Wikipedia
Aspell with Jaro-Winkler	80	0.0	17	Wikipedia
Aspell with Jaro-Winkler	90	0.0	17	Wikipedia
Aspell with Jaro-Winkler	100	0.0	17	Wikipedia
Aspell with Jaro-Winkler	1	0.0	18	Wikipedia
Aspell with Jaro-Winkler	2	0.0	18	Wikipedia
Aspell with Jaro-Winkler	3	0.0	18	Wikipedia
Aspell with Jaro-Winkler	4	0.0	18	Wikipedia
Aspell with Jaro-Winkler	5	0.0	18	Wikipedia
Aspell with Jaro-Winkler	6	0.0	18	Wikipedia
Aspell with Jaro-Winkler	7	0.0	18	Wikipedia
Aspell with Jaro-Winkler	8	0.0	18	Wikipedia
Aspell with Jaro-Winkler	9	0.0	18	Wikipedia
Aspell with Jaro-Winkler	10	0.0	18	Wikipedia
Aspell with Jaro-Winkler	20	0.0	18	Wikipedia
Aspell with Jaro-Winkler	30	0.0	18	Wikipedia
Aspell with Jaro-Winkler	40	0.0	18	Wikipedia
Aspell with Jaro-Winkler	50	0.0	18	Wikipedia
Aspell with Jaro-Winkler	60	0.0	18	Wikipedia
Aspell with Jaro-Winkler	70	0.0	18	Wikipedia
Aspell with Jaro-Winkler	80	0.0	18	Wikipedia
Aspell with Jaro-Winkler	90	0.0	18	Wikipedia
Aspell with Jaro-Winkler	100	0.0	18	Wikipedia
Aspell with Jaro-Winkler	1	0.0	19	Wikipedia
Aspell with Jaro-Winkler	2	1.0	19	Wikipedia
Aspell with Jaro-Winkler	3	1.0	19	Wikipedia
Aspell with Jaro-Winkler	4	1.0	19	Wikipedia
Aspell with Jaro-Winkler	5	1.0	19	Wikipedia
Aspell with Jaro-Winkler	6	1.0	19	Wikipedia
Aspell with Jaro-Winkler	7	1.0	19	Wikipedia
Aspell with Jaro-Winkler	8	1.0	19	Wikipedia
Aspell with Jaro-Winkler	9	1.0	19	Wikipedia
Aspell with Jaro-Winkler	10	1.0	19	Wikipedia
Aspell with Jaro-Winkler	20	1.0	19	Wikipedia
Aspell with Jaro-Winkler	30	1.0	19	Wikipedia
Aspell with Jaro-Winkler	40	1.0	19	Wikipedia
Aspell with Jaro-Winkler	50	1.0	19	Wikipedia
Aspell with Jaro-Winkler	60	1.0	19	Wikipedia
Aspell with Jaro-Winkler	70	1.0	19	Wikipedia
Aspell with Jaro-Winkler	80	1.0	19	Wikipedia
Aspell with Jaro-Winkler	90	1.0	19	Wikipedia
Aspell with Jaro-Winkler	100	1.0	19	Wikipedia
Aspell with Jaro-Winkler	1	0.21865348980852378	-1	Holbrook
Aspell with Jaro-Winkler	2	0.3390982087708462	-1	Holbrook
Aspell with Jaro-Winkler	3	0.41877702285361335	-1	Holbrook
Aspell with Jaro-Winkler	4	0.4768375540457072	-1	Holbrook
Aspell with Jaro-Winkler	5	0.5169857936998147	-1	Holbrook
Aspell with Jaro-Winkler	6	0.5491043854231007	-1	Holbrook
Aspell with Jaro-Winkler	7	0.5701050030883261	-1	Holbrook
Aspell with Jaro-Winkler	8	0.5886349598517604	-1	Holbrook
Aspell with Jaro-Winkler	9	0.6077825818406424	-1	Holbrook
Aspell with Jaro-Winkler	10	0.6170475602223595	-1	Holbrook
Aspell with Jaro-Winkler	20	0.6571957998764669	-1	Holbrook
Aspell with Jaro-Winkler	30	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	40	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	50	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	60	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	70	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	80	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	90	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	100	0.6627547869054973	-1	Holbrook
Aspell with Jaro-Winkler	1	0.0	1	Holbrook
Aspell with Jaro-Winkler	2	0.0	1	Holbrook
Aspell with Jaro-Winkler	3	0.16666666666666666	1	Holbrook
Aspell with Jaro-Winkler	4	0.3333333333333333	1	Holbrook
Aspell with Jaro-Winkler	5	0.5	1	Holbrook
Aspell with Jaro-Winkler	6	0.5	1	Holbrook
Aspell with Jaro-Winkler	7	0.5	1	Holbrook
Aspell with Jaro-Winkler	8	0.5	1	Holbrook
Aspell with Jaro-Winkler	9	0.5	1	Holbrook
Aspell with Jaro-Winkler	10	0.5	1	Holbrook
Aspell with Jaro-Winkler	20	0.5	1	Holbrook
Aspell with Jaro-Winkler	30	0.5	1	Holbrook
Aspell with Jaro-Winkler	40	0.5	1	Holbrook
Aspell with Jaro-Winkler	50	0.5	1	Holbrook
Aspell with Jaro-Winkler	60	0.5	1	Holbrook
Aspell with Jaro-Winkler	70	0.5	1	Holbrook
Aspell with Jaro-Winkler	80	0.5	1	Holbrook
Aspell with Jaro-Winkler	90	0.5	1	Holbrook
Aspell with Jaro-Winkler	100	0.5	1	Holbrook
Aspell with Jaro-Winkler	1	0.05084745762711865	2	Holbrook
Aspell with Jaro-Winkler	2	0.11864406779661017	2	Holbrook
Aspell with Jaro-Winkler	3	0.1694915254237288	2	Holbrook
Aspell with Jaro-Winkler	4	0.22033898305084745	2	Holbrook
Aspell with Jaro-Winkler	5	0.2711864406779661	2	Holbrook
Aspell with Jaro-Winkler	6	0.3050847457627119	2	Holbrook
Aspell with Jaro-Winkler	7	0.3050847457627119	2	Holbrook
Aspell with Jaro-Winkler	8	0.3389830508474576	2	Holbrook
Aspell with Jaro-Winkler	9	0.3559322033898305	2	Holbrook
Aspell with Jaro-Winkler	10	0.3728813559322034	2	Holbrook
Aspell with Jaro-Winkler	20	0.4745762711864407	2	Holbrook
Aspell with Jaro-Winkler	30	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	40	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	50	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	60	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	70	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	80	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	90	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	100	0.5423728813559322	2	Holbrook
Aspell with Jaro-Winkler	1	0.061855670103092786	3	Holbrook
Aspell with Jaro-Winkler	2	0.17525773195876287	3	Holbrook
Aspell with Jaro-Winkler	3	0.21649484536082475	3	Holbrook
Aspell with Jaro-Winkler	4	0.28350515463917525	3	Holbrook
